Id,Kind,Key,Label,Properties
ability:3,ability,3,Ability 3,
component:148,component,148,Component 148,
component:212,component,212,Component 212,
component:329,component,329,Component 329,
component:3310,component,3310,Component 3310,
effect:1030,effect,1030,Effect 1030,
effect:1034,effect,1034,Effect 1034,
effect:1043,effect,1043,Effect 1043,
effect:1047,effect,1047,Effect 1047,
effect:115,effect,115,Effect 115,
effect:1181,effect,1181,Effect 1181,
effect:1433,effect,1433,Effect 1433,
effect:1446,effect,1446,Effect 1446,
effect:1642,effect,1642,Effect 1642,
effect:1802,effect,1802,Effect 1802,
effect:1804,effect,1804,Effect 1804,
effect:19,effect,19,Effect 19,
effect:2002,effect,2002,Effect 2002,
effect:2023,effect,2023,Effect 2023,
effect:2063,effect,2063,Effect 2063,
effect:2081,effect,2081,Effect 2081,
effect:2259,effect,2259,Effect 2259,
effect:23,effect,23,Effect 23,
effect:2352,effect,2352,Effect 2352,
effect:2362,effect,2362,Effect 2362,
effect:2375,effect,2375,Effect 2375,
effect:2612,effect,2612,Effect 2612,
effect:2695,effect,2695,Effect 2695,
effect:2696,effect,2696,Effect 2696,
effect:2703,effect,2703,Effect 2703,
effect:2740,effect,2740,Effect 2740,
effect:2744,effect,2744,Effect 2744,
effect:2972,effect,2972,Effect 2972,
effect:3,effect,3,Effect 3,
effect:433,effect,433,Effect 433,
effect:445,effect,445,Effect 445,
effect:448,effect,448,Effect 448,
effect:49,effect,49,Effect 49,
effect:541,effect,541,Effect 541,
effect:545,effect,545,Effect 545,
effect:564,effect,564,Effect 564,
effect:565,effect,565,Effect 565,
effect:591,effect,591,Effect 591,
effect:614,effect,614,Effect 614,
effect:640,effect,640,Effect 640,
effect:921,effect,921,Effect 921,
effect:955,effect,955,Effect 955,
requirement:9620,requirement,9620,Requirement 9620,
requirement:9621,requirement,9621,Requirement 9621,
requirement:9622,requirement,9622,Requirement 9622,
requirement:9623,requirement,9623,Requirement 9623,
requirement:9624,requirement,9624,Requirement 9624,
requirement:9625,requirement,9625,Requirement 9625,
row:abilities.csv|line=8;EffectId=3,row,abilities.csv|line=8;EffectId=3,abilities.csv line=8;EffectId=3,line_number=8 | source_path=C:\Users\Admin\Downloads\myps\data\gamedata\abilities.csv
row:abilitycomponentexport.bin|record=1804;ComponentId=3310;offset=309536,row,abilitycomponentexport.bin|record=1804;ComponentId=3310;offset=309536,abilitycomponentexport.bin record=1804;ComponentId=3310;offset=309536,byte_offset=309536 | source_path=C:\Users\Admin\Downloads\myps\data\bin\abilitycomponentexport.bin
row:abilitycomponentexport.bin|record=6620;ComponentId=148;offset=1158063,row,abilitycomponentexport.bin|record=6620;ComponentId=148;offset=1158063,abilitycomponentexport.bin record=6620;ComponentId=148;offset=1158063,byte_offset=1158063 | source_path=C:\Users\Admin\Downloads\myps\data\bin\abilitycomponentexport.bin
