Id,SubjectKey,FactName,Domain,ValueKey,RawValue,NormalizedValue,SourceFamily,TableName,SourcePath,RowKey,LineNumber,ByteOffset,FieldName,Confidence,Notes
claim:5,Ability:28974,ApCost,ActionPoints,0,0,0,client_bin,abilityexport.bin,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,record=5397;AbilityId=28974;offset=1077060,0,1077060,ApCost,client_bin,abilityexport.bin
claim:6,Ability:28974,CareerLine,CareerLineId,0,0,0,client_bin,abilityexport.bin,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,record=5397;AbilityId=28974;offset=1077060,0,1077060,CareerLine,client_bin,abilityexport.bin
claim:2,Ability:28974,CastTime,Milliseconds,3000,3000,3000,client_bin,abilityexport.bin,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,record=5397;AbilityId=28974;offset=1077060,0,1077060,CastTime,client_bin,abilityexport.bin
claim:3,Ability:28974,Cooldown,Milliseconds,0,0,0,client_bin,abilityexport.bin,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,record=5397;AbilityId=28974;offset=1077060,0,1077060,Cooldown,client_bin,abilityexport.bin
claim:27,Ability:28974,Description,AbilityDescription,,,,client_strings,abilitydesc.txt,C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,line=28975;EntryId=28974,28975,0,value,localized_string,abilitydesc.txt
claim:1,Ability:28974,EffectId,EffectId,3770,3770,3770,client_bin,abilityexport.bin,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,record=5397;AbilityId=28974;offset=1077060,0,1077060,EffectId,client_bin,abilityexport.bin
claim:26,Ability:28974,Name,AbilityName,Summon Mount,Summon Mount^n,Summon Mount,client_strings,abilitynames.txt,C:\Users\Admin\Downloads\myps\data\strings\english\abilitynames.txt,line=28975;EntryId=28974,28975,0,value,localized_string,abilitynames.txt
claim:4,Ability:28974,Range,Feet,0,0,0,client_bin,abilityexport.bin,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,record=5397;AbilityId=28974;offset=1077060,0,1077060,Range,client_bin,abilityexport.bin
claim:29,Component:15590,Description,ComponentDescription,Movement speed increased by <<1>>%.,Movement speed increased by <<1>>%.,Movement speed increased by <<1>>%.,client_strings,componenteffects.txt,C:\Users\Admin\Downloads\myps\data\strings\english\componenteffects.txt,line=15591;EntryId=15590,15591,0,value,localized_string,componenteffects.txt
claim:16,Component:15590,Duration,Milliseconds,0,0,0,client_bin,abilitycomponentexport.bin,C:\Users\Admin\Downloads\myps\data\bin\abilitycomponentexport.bin,record=9989;ComponentId=15590;offset=1708506,0,1708506,Duration,client_bin,abilitycomponentexport.bin
claim:17,Component:15590,Interval,Milliseconds,0,0,0,client_bin,abilitycomponentexport.bin,C:\Users\Admin\Downloads\myps\data\bin\abilitycomponentexport.bin,record=9989;ComponentId=15590;offset=1708506,0,1708506,Interval,client_bin,abilitycomponentexport.bin
