Id,SubjectKey,FactName,Domain,ValueKey,RawValue,NormalizedValue,SourceFamily,TableName,SourcePath,RowKey,LineNumber,ByteOffset,FieldName,Confidence,Notes
claim:5,Ability:227,ApCost,ActionPoints,0,0,0,client_bin,abilityexport.bin,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,record=1120;AbilityId=227;offset=218183,0,218183,ApCost,client_bin,abilityexport.bin
claim:6,Ability:227,CareerLine,CareerLineId,0,0,0,client_bin,abilityexport.bin,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,record=1120;AbilityId=227;offset=218183,0,218183,CareerLine,client_bin,abilityexport.bin
claim:2,Ability:227,CastTime,Milliseconds,3000,3000,3000,client_bin,abilityexport.bin,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,record=1120;AbilityId=227;offset=218183,0,218183,CastTime,client_bin,abilityexport.bin
claim:3,Ability:227,Cooldown,Milliseconds,0,0,0,client_bin,abilityexport.bin,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,record=1120;AbilityId=227;offset=218183,0,218183,Cooldown,client_bin,abilityexport.bin
claim:27,Ability:227,Description,AbilityDescription,Summons a Pretty Pretty Test Unicorn! Yay! Activate again to remove the PPTU.,Summons a Pretty Pretty Test Unicorn! Yay! Activate again to remove the PPTU.,Summons a Pretty Pretty Test Unicorn! Yay! Activate again to remove the PPTU.,client_strings,abilitydesc.txt,C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,line=228;EntryId=227,228,0,value,localized_string,abilitydesc.txt
claim:1,Ability:227,EffectId,EffectId,2907,2907,2907,client_bin,abilityexport.bin,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,record=1120;AbilityId=227;offset=218183,0,218183,EffectId,client_bin,abilityexport.bin
claim:26,Ability:227,Name,AbilityName,Test Mount Ability,Test Mount Ability^n,Test Mount Ability,client_strings,abilitynames.txt,C:\Users\Admin\Downloads\myps\data\strings\english\abilitynames.txt,line=228;EntryId=227,228,0,value,localized_string,abilitynames.txt
claim:4,Ability:227,Range,Feet,0,0,0,client_bin,abilityexport.bin,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,record=1120;AbilityId=227;offset=218183,0,218183,Range,client_bin,abilityexport.bin
claim:31,Component:14342,Description,ComponentDescription,Movement speed increased by <<1>>%.,Movement speed increased by <<1>>%.,Movement speed increased by <<1>>%.,client_strings,componenteffects.txt,C:\Users\Admin\Downloads\myps\data\strings\english\componenteffects.txt,line=14343;EntryId=14342,14343,0,value,localized_string,componenteffects.txt
claim:24,Component:14342,Duration,Milliseconds,0,0,0,client_bin,abilitycomponentexport.bin,C:\Users\Admin\Downloads\myps\data\bin\abilitycomponentexport.bin,record=9049;ComponentId=14342;offset=1544810,0,1544810,Duration,client_bin,abilitycomponentexport.bin
claim:25,Component:14342,Interval,Milliseconds,0,0,0,client_bin,abilitycomponentexport.bin,C:\Users\Admin\Downloads\myps\data\bin\abilitycomponentexport.bin,record=9049;ComponentId=14342;offset=1544810,0,1544810,Interval,client_bin,abilitycomponentexport.bin
claim:22,Component:14342,Operation,ComponentOperation,8,8,8,client_bin,abilitycomponentexport.bin,C:\Users\Admin\Downloads\myps\data\bin\abilitycomponentexport.bin,record=9049;ComponentId=14342;offset=1544810,0,1544810,Operation,client_bin,abilitycomponentexport.bin
claim:23,Component:14342,Radius,Radius,0,0,0,client_bin,abilitycomponentexport.bin,C:\Users\Admin\Downloads\myps\data\bin\abilitycomponentexport.bin,record=9049;ComponentId=14342;offset=1544810,0,1544810,Radius,client_bin,abilitycomponentexport.bin
claim:28,Component:212,Description,ComponentDescription,,,,client_strings,componenteffects.txt,C:\Users\Admin\Downloads\myps\data\strings\english\componenteffects.txt,line=213;EntryId=212,213,0,value,localized_string,componenteffects.txt
claim:12,Component:212,Duration,Milliseconds,0,0,0,client_bin,abilitycomponentexport.bin,C:\Users\Admin\Downloads\myps\data\bin\abilitycomponentexport.bin,record=6673;ComponentId=212;offset=1169435,0,1169435,Duration,client_bin,abilitycomponentexport.bin
claim:13,Component:212,Interval,Milliseconds,0,0,0,client_bin,abilitycomponentexport.bin,C:\Users\Admin\Downloads\myps\data\bin\abilitycomponentexport.bin,record=6673;ComponentId=212;offset=1169435,0,1169435,Interval,client_bin,abilitycomponentexport.bin
claim:10,Component:212,Operation,ComponentOperation,15,15,15,client_bin,abilitycomponentexport.bin,C:\Users\Admin\Downloads\myps\data\bin\abilitycomponentexport.bin,record=6673;ComponentId=212;offset=1169435,0,1169435,Operation,client_bin,abilitycomponentexport.bin
claim:11,Component:212,Radius,Radius,0,0,0,client_bin,abilitycomponentexport.bin,C:\Users\Admin\Downloads\myps\data\bin\abilitycomponentexport.bin,record=6673;ComponentId=212;offset=1169435,0,1169435,Radius,client_bin,abilitycomponentexport.bin
claim:29,Component:3088,Description,ComponentDescription,,,,client_strings,componenteffects.txt,C:\Users\Admin\Downloads\myps\data\strings\english\componenteffects.txt,line=3089;EntryId=3088,3089,0,value,localized_string,componenteffects.txt
claim:16,Component:3088,Duration,Milliseconds,0,0,0,client_bin,abilitycomponentexport.bin,C:\Users\Admin\Downloads\myps\data\bin\abilitycomponentexport.bin,record=1582;ComponentId=3088;offset=272288,0,272288,Duration,client_bin,abilitycomponentexport.bin
claim:17,Component:3088,Interval,Milliseconds,0,0,0,client_bin,abilitycomponentexport.bin,C:\Users\Admin\Downloads\myps\data\bin\abilitycomponentexport.bin,record=1582;ComponentId=3088;offset=272288,0,272288,Interval,client_bin,abilitycomponentexport.bin
claim:14,Component:3088,Operation,ComponentOperation,44,44,44,client_bin,abilitycomponentexport.bin,C:\Users\Admin\Downloads\myps\data\bin\abilitycomponentexport.bin,record=1582;ComponentId=3088;offset=272288,0,272288,Operation,client_bin,abilitycomponentexport.bin
claim:15,Component:3088,Radius,Radius,0,0,0,client_bin,abilitycomponentexport.bin,C:\Users\Admin\Downloads\myps\data\bin\abilitycomponentexport.bin,record=1582;ComponentId=3088;offset=272288,0,272288,Radius,client_bin,abilitycomponentexport.bin
