Id,Kind,FromNodeId,ToNodeId,Label,ClaimId
edge:1,declared_by,ability:227,row:abilityexport.bin|record=1120;AbilityId=227;offset=218183,abilityexport.bin,
edge:13,declared_by,component:14342,row:abilitycomponentexport.bin|record=9049;ComponentId=14342;offset=1544810,abilitycomponentexport.bin,
edge:10,declared_by,component:212,row:abilitycomponentexport.bin|record=6673;ComponentId=212;offset=1169435,abilitycomponentexport.bin,
edge:11,declared_by,component:3088,row:abilitycomponentexport.bin|record=1582;ComponentId=3088;offset=272288,abilitycomponentexport.bin,
edge:12,declared_by,component:3089,row:abilitycomponentexport.bin|record=1583;ComponentId=3089;offset=272421,abilitycomponentexport.bin,
edge:8,declared_by,effect:2907,row:abilities.csv|line=3033;EffectId=2907,abilities.csv,
edge:9,declared_by,effect:2907,row:effects.csv|line=3007;EffectId=2907,effects.csv,
edge:19,localized_component_description,component:14342,row:componenteffects.txt|line=14343;EntryId=14342,componenteffects.txt,claim:31
edge:16,localized_component_description,component:212,row:componenteffects.txt|line=213;EntryId=212,componenteffects.txt,claim:28
edge:17,localized_component_description,component:3088,row:componenteffects.txt|line=3089;EntryId=3088,componenteffects.txt,claim:29
edge:18,localized_component_description,component:3089,row:componenteffects.txt|line=3090;EntryId=3089,componenteffects.txt,claim:30
edge:15,localized_description,ability:227,row:abilitydesc.txt|line=228;EntryId=227,abilitydesc.txt,claim:27
edge:14,localized_name,ability:227,row:abilitynames.txt|line=228;EntryId=227,abilitynames.txt,claim:26
edge:3,uses_component,ability:227,component:14342,abilityexport.bin,
edge:4,uses_component,ability:227,component:212,abilityexport.bin,
edge:5,uses_component,ability:227,component:212,abilityexport.bin,
edge:6,uses_component,ability:227,component:3088,abilityexport.bin,
edge:7,uses_component,ability:227,component:3089,abilityexport.bin,
edge:2,uses_effect,ability:227,effect:2907,abilityexport.bin,
